DISTANCE,INRIX_SPEED,INRIX_TIME,TNC_PUDO,name,,,,,,
0.0,12.8,0.14,0.2,105N10294_PM,,,,,,
0.0,26.9,0.07,1.6,105N10316_PM,,,,,,
0.0,22.0,0.08,0.1,105N14209_PM,,,,,,
0.0,9.0,0.20,4.9,105P06596_PM,,,,,,
0.0,4.6,0.39,1.7,105P10548_PM,,,,,,
0.0,10.8,0.16,2.0,105-10684_AM,,,,,,
0.0,11.9,0.15,1.1,105-10684_EA,,,,,,
0.0,11.0,0.16,8.7,105-10684_EV,,,,,,
0.0,9.4,0.19,6.2,105-10684_MD,,,,,,
0.0,11.5,0.15,2.6,105-10684_PM,,,,,,
0.0,16.1,0.09,0.1,105N10351_AM,,,,,,
0.0,18.0,0.08,0.1,105N10351_EA,,,,,,
0.0,15.9,0.09,0.1,105N10351_EV,,,,,,
0.0,13.5,0.10,1.0,105N10433_AM,,,,,,
0.0,13.7,0.09,0.6,105N10433_EA,,,,,,
0.0,14.2,0.09,6.0,105N10433_EV,,,,,,
0.0,12.2,0.11,3.2,105N10433_MD,,,,,,
0.0,13.0,0.10,1.1,105N10433_PM,,,,,,
0.0,12.1,0.10,10.4,105+10616_AM,,,,,,
0.0,11.8,0.10,1.8,105-10480_AM,,,,,,
0.0,21.6,0.06,1.5,105N06039_AM,,,,,,
0.0,17.0,0.07,0.4,105N10463_AM,,,,,,
0.0,11.0,0.11,0.4,105N10713_AM,,,,,,
0.0,25.4,0.05,0.3,105N10727_AM,,,,,,
0.0,9.8,0.12,2.8,105N14321_AM,,,,,,
0.0,12.9,0.09,0.6,105N14496_AM,,,,,,
0.0,20.3,0.06,0.8,105P06040_AM,,,,,,
0.0,12.4,0.10,1.0,105P10713_AM,,,,,,
0.0,21.7,0.06,0.0,105P14278_AM,,,,,,
0.0,11.4,0.10,0.5,105P14321_AM,,,,,,
0.0,8.7,0.14,0.2,105P14496_AM,,,,,,
0.0,13.0,0.09,1.4,105+10616_EA,,,,,,
0.0,9.8,0.12,0.5,105-10480_EA,,,,,,
0.0,23.1,0.05,0.1,105N06039_EA,,,,,,
0.0,17.4,0.07,0.1,105N10463_EA,,,,,,
0.0,28.0,0.04,0.1,105N10727_EA,,,,,,
0.0,13.1,0.09,0.3,105N14496_EA,,,,,,
0.0,17.4,0.07,0.2,105P06040_EA,,,,,,
0.0,14.3,0.08,0.2,105P10713_EA,,,,,,
0.0,13.4,0.09,0.1,105P14321_EA,,,,,,
0.0,12.3,0.10,20.7,105+10616_EV,,,,,,
0.0,12.6,0.10,2.6,105-10480_EV,,,,,,
0.0,19.8,0.06,4.5,105N06039_EV,,,,,,
0.0,16.0,0.08,2.3,105N10463_EV,,,,,,
0.0,12.4,0.10,2.0,105N10713_EV,,,,,,
0.0,25.6,0.05,1.5,105N10727_EV,,,,,,
0.0,19.6,0.06,0.0,105N14278_EV,,,,,,
0.0,10.1,0.12,15.0,105N14321_EV,,,,,,
0.0,13.5,0.09,1.0,105N14496_EV,,,,,,
0.0,16.5,0.07,3.1,105P06040_EV,,,,,,
0.0,11.8,0.10,7.3,105P10713_EV,,,,,,
0.0,19.6,0.06,0.2,105P14278_EV,,,,,,
0.0,11.7,0.10,4.2,105P14321_EV,,,,,,
0.0,11.6,0.10,0.8,105P14496_EV,,,,,,
0.0,9.8,0.12,23.0,105+10616_MD,,,,,,
0.0,11.2,0.11,4.6,105-10480_MD,,,,,,
0.0,20.2,0.06,3.9,105N06039_MD,,,,,,
0.0,15.6,0.08,1.1,105N10463_MD,,,,,,
0.0,10.6,0.11,0.8,105N10713_MD,,,,,,
0.0,24.7,0.05,0.9,105N10727_MD,,,,,,
0.0,18.6,0.06,0.2,105N14278_MD,,,,,,
0.0,10.9,0.11,4.7,105N14321_MD,,,,,,
0.0,11.3,0.11,1.5,105N14496_MD,,,,,,
0.0,15.2,0.08,1.8,105P06040_MD,,,,,,
0.0,10.2,0.12,3.3,105P10713_MD,,,,,,
0.0,17.3,0.07,0.4,105P14278_MD,,,,,,
0.0,11.6,0.10,1.3,105P14321_MD,,,,,,
0.0,10.1,0.12,0.3,105P14496_MD,,,,,,
0.0,10.6,0.11,7.6,105+10616_PM,,,,,,
0.0,10.0,0.12,1.0,105-10480_PM,,,,,,
0.0,22.0,0.05,2.0,105N06039_PM,,,,,,
0.0,15.3,0.08,1.0,105N10463_PM,,,,,,
0.0,9.1,0.13,1.2,105N10713_PM,,,,,,
0.0,23.2,0.05,0.4,105N10727_PM,,,,,,
0.0,17.2,0.07,0.1,105N14278_PM,,,,,,
0.0,10.0,0.12,3.2,105N14321_PM,,,,,,
0.0,9.9,0.12,0.5,105N14496_PM,,,,,,
0.0,15.4,0.08,1.1,105P06040_PM,,,,,,
0.0,9.6,0.13,3.1,105P10713_PM,,,,,,
0.0,13.1,0.09,0.2,105P14278_PM,,,,,,
0.0,10.6,0.11,1.0,105P14321_PM,,,,,,
0.0,10.0,0.12,0.2,105P14496_PM,,,,,,
0.0,16.3,0.04,1.2,105N10586_AM,,,,,,
0.0,13.6,0.04,0.5,105P10593_AM,,,,,,
0.0,15.7,0.04,0.2,105N10586_EA,,,,,,
0.0,15.1,0.04,0.1,105P10593_EA,,,,,,
0.0,16.6,0.04,1.8,105N10586_EV,,,,,,
0.0,15.1,0.04,1.4,105P10593_EV,,,,,,
0.0,15.1,0.04,1.5,105N10586_MD,,,,,,
0.0,14.3,0.04,1.3,105P10593_MD,,,,,,
0.0,10.2,0.06,1.0,105N10586_PM,,,,,,
0.0,14.2,0.04,1.0,105P10593_PM,,,,,,
